t_ms,true_x,true_y,yaw_deg,map_x,map_y,fused_x,fused_y,enc_x,enc_y,enc_w,imu_ok,seg,auto_state,route_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance,odom_err
0,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
10,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
20,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.007,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
30,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.017,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
40,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.027,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
50,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.037,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
60,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.047,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
70,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.057,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
80,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.067,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
90,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.077,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
100,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.087,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
110,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.097,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
120,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.107,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
130,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.117,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
140,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.127,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
150,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.137,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
160,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.147,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
170,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.157,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
180,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.167,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
190,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.177,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
200,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.187,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
210,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.197,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
220,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.207,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
230,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.217,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
240,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.227,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
250,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.237,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
260,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.247,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
270,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.257,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
280,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.267,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
290,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.277,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
300,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.287,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
310,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.297,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
320,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.307,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
330,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.317,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
340,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.327,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
350,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.337,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
360,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.347,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
370,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.357,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
380,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.367,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
390,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.377,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
400,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.387,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
410,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.397,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
420,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.407,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
430,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.417,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
440,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.427,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
450,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.437,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
460,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.447,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
470,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.457,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
480,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.467,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
490,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.477,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
500,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.487,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
510,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.497,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
520,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.500,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
530,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.500,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
540,2.6260,0.3085,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.500,0,0,0,0,0,0,0,0,0,0,0,0.000,0.0000
