t_ms,true_x,true_y,yaw_deg,map_x,map_y,seg,auto_state,route_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance
0,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
10,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
20,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
30,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
40,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
50,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
60,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
70,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
80,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
90,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
100,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
110,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
120,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
130,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
140,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
150,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
160,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
170,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
180,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
190,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
200,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
210,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
220,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
230,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
240,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
250,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
260,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
270,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
280,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
290,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
300,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
310,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
320,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
330,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
340,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
350,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
360,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
370,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
380,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
390,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
400,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
410,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
420,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
430,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
440,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
450,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
460,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
470,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
480,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
490,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
500,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
510,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
520,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
530,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
540,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
550,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
560,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
570,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
580,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
590,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
600,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
610,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
620,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
630,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
640,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
650,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
660,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
670,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
680,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
690,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
700,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
710,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
720,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
730,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
740,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
750,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
760,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
770,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
780,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
790,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
800,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
810,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
820,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
830,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
840,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
850,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
860,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
870,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
880,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
890,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
900,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
910,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
920,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
930,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
940,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
950,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
960,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
970,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
980,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
990,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1000,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1010,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1020,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1030,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1040,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1050,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1060,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1070,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1080,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1090,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1100,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1110,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1120,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1130,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1140,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1150,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1160,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1170,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1180,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1190,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1200,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1210,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1220,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1230,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1240,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1250,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1260,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1270,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
1280,0.3740,0.3085,0.00,0.0000,0.0000,0,0,0,140,10,0,0,0,0,0,1000.000
